Meso_region_geo,State,Year,AP_ha,AC_ha,QP_ton,RMP_kgha,VP_pct
Jaguaribe,CE,1996,52816,49856,23213,465,36.55
Centro-Sul Cearense,CE,1996,30897,30897,9065,293,19.83
Sul Cearense,CE,1996,73744,73744,42192,572,26.17
Oeste Potiguar,RN,1996,51042,51042,19232,376,17.79
Central Potiguar,RN,1996,20611,20611,6062,294,37.12
Agreste Potiguar,RN,1996,74233,74233,28593,385,29.98
Leste Potiguar,RN,1996,13965,13965,7344,525,4.05
Sertão Paraibano,PB,1996,81579,81579,23046,282,27.37
Borborema,PB,1996,44625,44625,10662,238,36.58
Agreste Paraibano,PB,1996,80017,80017,23283,290,31.76
Mata Paraibana,PB,1996,4434,4434,1574,354,0.8
Sertão Pernambucano,PE,1996,197176,172366,62038,359,41.81
São Francisco Pernambucano,PE,1996,33571,32908,16042,487,10.88
Agreste Pernambucano,PE,1996,167306,158080,63273,400,32.64
Mata Pernambucana,PE,1996,5582,5564,2200,395,0.36
Metropolitana de Recife,PE,1996,1130,1130,495,438,0.4
Sertão Alagoano,AL,1996,114368,83618,21713,259,58.15
Agreste Alagoano,AL,1996,32423,28108,13523,481,13.19
Leste Alagoano,AL,1996,10157,10146,3867,381,0.44
Sertão Sergipano,SE,1996,34950,34950,19288,551,46.19
Agreste Sergipano,SE,1996,27356,27356,14226,520,15.38
Leste Sergipano,SE,1996,4489,4489,2010,447,2.89
Extremo Oeste Baiano,BA,1996,32035,32035,55369,1728,8.41
Vale São-Franciscano da Bahia,BA,1996,43849,42639,26201,614,9.41
Centro Norte Baiano,BA,1996,314694,243501,67552,277,23.82
Nordeste Baiano,BA,1996,243074,243074,135823,558,43.16
Metropolitana de Salvador,BA,1996,3627,3627,2196,605,1.05
Centro Sul Baiano,BA,1996,94085,90082,31032,344,6.19
Sul Baiano,BA,1996,5323,5323,3489,655,1.36
Noroeste de Minas,MG,1996,31563,31563,43469,1377,16.64
Norte de Minas,MG,1996,65328,65328,40135,614,24.18
Jequitinhonha,MG,1996,23462,23462,8300,353,15.21
Vale do Mucuri,MG,1996,11650,11650,3040,260,15.14
Triângulo Mineiro/Alto Paranaíba,MG,1996,18041,18035,17387,964,2.22
Central Mineira,MG,1996,12290,12290,9012,733,8.67
Metropolitana de Belo Horizonte,MG,1996,33427,33344,14385,431,8.71
Vale do Rio Doce,MG,1996,47244,47244,16984,359,18.29
Oeste de Minas,MG,1996,30508,30508,13838,453,12.78
Sul/Sudoeste de Minas,MG,1996,78742,78742,52216,663,11.24
Campo das Vertentes,MG,1996,19529,19529,8051,412,10.2
Zona da Mata,MG,1996,82954,82954,35951,433,18.83
Noroeste Espírito-santense,ES,1996,3698,3698,2043,552,13.08
Litoral Norte Espírito-santense,ES,1996,8891,8891,10848,1220,12.88
Central Espírito-santense,ES,1996,19170,19108,13966,730,11.86
Sul Espírito-santense,ES,1996,8688,8628,5465,633,5.25
Noroeste Fluminense,RJ,1996,2024,2024,1522,751,3.45
Norte Fluminense,RJ,1996,1841,1841,1135,616,0.63
Centro Fluminense,RJ,1996,2700,2700,2224,823,5.78
Baixadas,RJ,1996,694,694,555,799,2.9
Sul Fluminense,RJ,1996,1361,1361,1009,741,10.37
Metropolitana do Rio de Janeiro,RJ,1996,938,936,830,886,1.41
São José do Rio Preto,SP,1996,12352,12352,10063,814,2.03
Ribeirão Preto,SP,1996,8247,8247,9122,1106,0.5
Araçatuba,SP,1996,8450,8450,7827,926,2.42
Bauru,SP,1996,16187,16187,17466,1079,2.66
Araraquara,SP,1996,503,503,502,998,0.14
Piracicaba,SP,1996,1397,1397,1330,952,0.3
Campinas,SP,1996,9480,9480,9444,996,1.98
Presidente Prudente,SP,1996,22267,22267,16495,740,6.72
Marília,SP,1996,3848,3848,2106,547,4
Assis,SP,1996,5179,5179,5138,992,0.85
Itapetininga,SP,1996,79793,79793,80702,1011,22.13
Macro Metropolitana Paulista,SP,1996,10180,10180,10321,1013,7.24
Vale do Paraíba Paulista,SP,1996,3001,3001,2729,909,8.1
Litoral Sul Paulista,SP,1996,774,774,337,435,9.34
Metropolitana de São Paulo,SP,1996,32,32,18,562,1.43
Noroeste Paranaense,PR,1996,16741,16386,6079,370,1.5
Centro Ocidental Paranaense,PR,1996,17950,17950,6457,359,0.65
Norte Central Paranaense,PR,1996,52358,52012,34610,665,2.46
Norte Pioneiro Paranaense,PR,1996,44869,43729,29931,684,4.8
Centro Oriental Paranaense,PR,1996,76915,75795,84165,1110,11.41
Oeste Paranaense,PR,1996,30312,28822,27260,945,1.29
Sudoeste Paranaense,PR,1996,102515,101925,73278,718,9.58
Centro-Sul Paranaense,PR,1996,63180,62780,52506,836,6.51
Sudeste Paranaense,PR,1996,134820,129261,128443,993,18.58
Metropolitana de Curitiba,PR,1996,65470,65470,47678,728,9.85
Oeste Catarinense,SC,1996,147305,144001,113706,789,12.36
Norte Catarinense,SC,1996,23646,23477,24296,1034,5.33
Serrana,SC,1996,57525,56790,56390,992,24.88
Vale do Itajaí,SC,1996,8030,6896,5829,845,1.52
Grande Florianópolis,SC,1996,3386,3233,2431,751,2.48
Sul Catarinense,SC,1996,22234,19828,17864,900,3.88
Noroeste Rio-grandense,RS,1996,121678,108705,64364,592,1.97
Nordeste Rio-grandense,RS,1996,12329,12112,7114,587,2.3
Centro Ocidental Rio-grandense,RS,1996,14884,11844,5117,432,0.96
Centro Oriental Rio-grandense,RS,1996,21755,17999,9129,507,1.06
Metropolitana de Porto Alegre,RS,1996,14548,13569,5976,440,1.07
Sudoeste Rio-grandense,RS,1996,2640,2640,1248,472,0.14
Sudeste Rio-grandense,RS,1996,25185,23117,7160,309,1.18
Pantanais Sul Mato-grossense,MS,1996,3300,2360,1200,508,3.9
Centro Norte de Mato Grosso do Sul,MS,1996,2540,2525,2204,872,0.77
Leste de Mato Grosso do Sul,MS,1996,3439,3129,2022,646,0.83
Sudoeste de Mato Grosso do Sul,MS,1996,12131,10669,9118,854,1.22
Norte Mato-grossense,MT,1996,13246,13189,8602,652,0.71
Nordeste Mato-grossense,MT,1996,1070,1070,451,421,0.22
Sudoeste Mato-grossense,MT,1996,9740,9690,5655,583,2.81
Centro-Sul Mato-grossense,MT,1996,3682,3682,1744,473,1.98
Sudeste Mato-grossense,MT,1996,2988,2988,4020,1345,0.45
Noroeste Goiano,GO,1996,6477,6467,15329,2370,30.91
Norte Goiano,GO,1996,3479,3479,2349,675,5.6
Centro Goiano,GO,1996,34514,34419,27899,810,8.5
Leste Goiano,GO,1996,14008,13956,13910,996,7.75
Sul Goiano,GO,1996,27516,27496,50337,1830,3.6
Distrito Federal,DF,1996,4333,4333,7114,1641,9.24
Madeira-Guaporé,RO,1997,5034,5034,2826,561,11.21
Leste Rondoniense,RO,1997,86977,86977,64254,738,36.17
Vale do Juruá,AC,1997,3236,3236,1965,607,7.4
Vale do Acre,AC,1997,7835,7835,3921,500,13.8
Norte Amazonense,AM,1997,5,4,3,750,0
Sudoeste Amazonense,AM,1997,919,888,701,789,0.99
Centro Amazonense,AM,1997,1256,1227,1296,1056,0.49
Sul Amazonense,AM,1997,2948,2920,2478,848,2.91
Norte de Roraima,RR,1997,1611,1486,434,292,1.85
Sul de Roraima,RR,1997,472,414,125,301,1.53
Baixo Amazonas,PA,1997,10795,10660,7066,662,4.38
Marajó,PA,1997,452,452,217,480,1.74
Metropolitana de Belém,PA,1997,2035,2035,1211,595,9.44
Nordeste Paraense,PA,1997,26165,25627,19339,754,12.12
Sudoeste Paraense,PA,1997,10990,10564,7160,677,4.61
Sudeste Paraense,PA,1997,27338,27231,13507,496,2.96
Norte do Amapá,AP,1997,17,17,6,352,0.08
Sul do Amapá,AP,1997,133,118,36,305,0.14
Ocidental do Tocantins,TO,1997,3609,3542,1509,426,1.16
Oriental do Tocantins,TO,1997,1035,1033,591,572,1.66
Norte Maranhense,MA,1997,9529,9529,3521,369,5.15
Oeste Maranhense,MA,1997,16977,16977,6475,381,6.86
Centro Maranhense,MA,1997,13501,13501,4080,302,7.08
Leste Maranhense,MA,1997,19823,19470,5748,295,8.06
Sul Maranhense,MA,1997,3504,3504,1773,505,0.74
Norte Piauiense,PI,1997,16187,16187,3396,209,12.28
Centro-Norte Piauiense,PI,1997,33230,33230,5565,167,12.16
Sudoeste Piauiense,PI,1997,42836,42836,11473,267,16.24
Sudeste Piauiense,PI,1997,99567,99567,21242,213,32.8
Noroeste Cearense,CE,1997,82207,74221,17921,241,20.52
Norte Cearense,CE,1997,50696,33476,6987,208,15.07
Metropolitana de Fortaleza,CE,1997,5090,5090,1899,373,12.22
Sertões Cearenses,CE,1997,130494,122274,29296,239,42.65
Jaguaribe,CE,1997,54594,53209,28126,528,42.34
Centro-Sul Cearense,CE,1997,33929,33929,10341,304,23.39
Sul Cearense,CE,1997,71289,71289,39199,549,33.65
Oeste Potiguar,RN,1997,45226,44193,15682,354,14.52
Central Potiguar,RN,1997,14400,5377,1071,199,10.71
Agreste Potiguar,RN,1997,69060,61378,20512,334,25.06
Leste Potiguar,RN,1997,13901,13901,4831,347,2.61
Sertão Paraibano,PB,1997,78897,78897,21141,267,32.2
Borborema,PB,1997,53655,52551,20461,389,53.04
Agreste Paraibano,PB,1997,92560,92250,50478,547,40.84
Mata Paraibana,PB,1997,5525,5525,3116,563,1.23
Sertão Pernambucano,PE,1997,173140,154439,38156,247,35.04
São Francisco Pernambucano,PE,1997,27190,25660,21238,827,11.21
Agreste Pernambucano,PE,1997,151353,136550,63071,461,27.48
Mata Pernambucana,PE,1997,7552,7552,2871,380,0.51
Metropolitana de Recife,PE,1997,1193,1193,571,478,0.4
Sertão Alagoano,AL,1997,100288,100288,34949,348,47.85
Agreste Alagoano,AL,1997,30979,30961,16217,523,12.83
Leste Alagoano,AL,1997,11588,11558,4387,379,0.41
Sertão Sergipano,SE,1997,31145,31145,14215,456,36.45
Agreste Sergipano,SE,1997,29375,29375,21087,717,16.2
Leste Sergipano,SE,1997,4238,4238,2165,510,2.29
Extremo Oeste Baiano,BA,1997,38711,38711,76946,1987,8.79
Vale São-Franciscano da Bahia,BA,1997,42751,42751,20690,483,8.33
Centro Norte Baiano,BA,1997,336926,336926,182797,542,32.28
Nordeste Baiano,BA,1997,268024,268024,128471,479,57.04
Metropolitana de Salvador,BA,1997,3379,3379,1811,535,0.85
Centro Sul Baiano,BA,1997,112348,112348,58545,521,12.5
Sul Baiano,BA,1997,5439,5439,3669,674,1.16
Noroeste de Minas,MG,1997,57887,57887,109723,1895,22.03
Norte de Minas,MG,1997,67846,67803,53662,791,22.38
Jequitinhonha,MG,1997,21421,21421,10579,493,9.51
Vale do Mucuri,MG,1997,5759,5759,2865,497,4.63
Triângulo Mineiro/Alto Paranaíba,MG,1997,19834,19834,22094,1113,1.66
Central Mineira,MG,1997,7094,7094,4316,608,4.98
Metropolitana de Belo Horizonte,MG,1997,28742,28564,14640,512,9.42
Vale do Rio Doce,MG,1997,42304,42304,20471,483,13.7
Oeste de Minas,MG,1997,25649,25649,12450,485,10.3
Sul/Sudoeste de Minas,MG,1997,81054,80954,55555,686,8.43
Campo das Vertentes,MG,1997,16878,16878,6298,373,10.88
Zona da Mata,MG,1997,78003,77659,38109,490,19
Noroeste Espírito-santense,ES,1997,4415,4415,2180,493,11.64
Litoral Norte Espírito-santense,ES,1997,8345,8345,10363,1241,12.15
Central Espírito-santense,ES,1997,19815,19785,13414,677,12.53
Sul Espírito-santense,ES,1997,8739,8739,5730,655,8.45
Noroeste Fluminense,RJ,1997,2108,1874,1273,679,2.55
Norte Fluminense,RJ,1997,1874,1834,1258,685,0.84
Centro Fluminense,RJ,1997,2626,2626,2223,846,7.91
Baixadas,RJ,1997,538,538,421,782,2.32
Sul Fluminense,RJ,1997,1104,1104,854,773,10.34
Metropolitana do Rio de Janeiro,RJ,1997,973,967,712,736,1.1
São José do Rio Preto,SP,1997,15359,15239,15541,1019,2.25
Ribeirão Preto,SP,1997,12550,12550,20772,1655,0.89
Araçatuba,SP,1997,14533,14533,14935,1027,3.41
Bauru,SP,1997,16447,16447,15125,919,1.61
Araraquara,SP,1997,553,553,571,1032,0.12
Piracicaba,SP,1997,1960,1960,2179,1111,0.28
Campinas,SP,1997,11757,11757,16558,1408,2
Presidente Prudente,SP,1997,21139,21139,17039,806,4.31
Marília,SP,1997,3521,3521,1778,504,2.21
Assis,SP,1997,5675,5675,5807,1023,0.69
Itapetininga,SP,1997,90433,90433,93578,1034,19.92
Macro Metropolitana Paulista,SP,1997,9755,9755,9644,988,2.68
Vale do Paraíba Paulista,SP,1997,7090,7090,6145,866,10.99
Litoral Sul Paulista,SP,1997,793,793,440,554,15.67
Metropolitana de São Paulo,SP,1997,1425,1425,988,693,3.55
Noroeste Paranaense,PR,1997,22847,22327,11820,529,2.38
Centro Ocidental Paranaense,PR,1997,14030,14030,11276,803,0.98
Norte Central Paranaense,PR,1997,63546,61606,45166,733,2.97
Norte Pioneiro Paranaense,PR,1997,45132,45132,38832,860,5.2
Centro Oriental Paranaense,PR,1997,68835,67765,81264,1199,11.7
Oeste Paranaense,PR,1997,26440,25002,28572,1142,1.63
Sudoeste Paranaense,PR,1997,84560,80330,64781,806,8.2
Centro-Sul Paranaense,PR,1997,66695,65128,50403,773,6.36
Sudeste Paranaense,PR,1997,106400,104680,96319,920,18.03
Metropolitana de Curitiba,PR,1997,68853,68838,47025,683,15.9
Oeste Catarinense,SC,1997,138633,135513,115060,849,14.46
Norte Catarinense,SC,1997,13243,12040,14304,1188,3.51
Serrana,SC,1997,61973,61958,73237,1182,27.24
Vale do Itajaí,SC,1997,6894,6804,6393,939,1.59
Grande Florianópolis,SC,1997,3866,3851,3379,877,3.19
Sul Catarinense,SC,1997,17613,17498,13866,792,3.29
Noroeste Rio-grandense,RS,1997,114219,112525,78523,697,2.48
Nordeste Rio-grandense,RS,1997,9957,9947,10430,1048,2.9
Centro Ocidental Rio-grandense,RS,1997,14898,14858,13315,896,2.59
Centro Oriental Rio-grandense,RS,1997,15664,15628,18577,1188,2.45
Metropolitana de Porto Alegre,RS,1997,12087,12087,7352,608,1.27
Sudoeste Rio-grandense,RS,1997,2639,2639,1387,525,0.14
Sudeste Rio-grandense,RS,1997,20017,19017,10212,536,1.22
Pantanais Sul Mato-grossense,MS,1997,3750,3720,3277,880,8.08
Centro Norte de Mato Grosso do Sul,MS,1997,3735,3725,5572,1495,1
Leste de Mato Grosso do Sul,MS,1997,6624,6624,4671,705,0.77
Sudoeste de Mato Grosso do Sul,MS,1997,18860,18830,16834,893,1.36
Norte Mato-grossense,MT,1997,13723,13723,10142,739,0.63
Nordeste Mato-grossense,MT,1997,629,629,325,516,0.16
Sudoeste Mato-grossense,MT,1997,7740,7740,4117,531,1.67
Centro-Sul Mato-grossense,MT,1997,3262,3262,1594,488,1.92
Sudeste Mato-grossense,MT,1997,3218,3218,3810,1183,0.35
Noroeste Goiano,GO,1997,4833,4833,12090,2501,29.24
Norte Goiano,GO,1997,3110,3090,3978,1287,8.74
Centro Goiano,GO,1997,35276,35276,33506,949,9.35
Leste Goiano,GO,1997,19375,19290,38478,1994,13.54
Sul Goiano,GO,1997,40897,40867,78530,1921,3.78
Distrito Federal,DF,1997,8639,8639,16701,1933,13.97
Madeira-Guaporé,RO,1998,4837,4837,2586,534,12.51
Leste Rondoniense,RO,1998,87770,87770,51567,587,34.19
Vale do Juruá,AC,1998,3134,3134,1862,594,8.55
Vale do Acre,AC,1998,8728,8728,4732,542,8.38
Norte Amazonense,AM,1998,5,5,4,800,0
Sudoeste Amazonense,AM,1998,919,910,856,940,1.2
Centro Amazonense,AM,1998,1267,1262,1253,992,0.37
Sul Amazonense,AM,1998,2948,2948,2178,738,2.06
Norte de Roraima,RR,1998,488,488,143,293,0.83
Sul de Roraima,RR,1998,294,294,87,295,1.89
Baixo Amazonas,PA,1998,10421,10321,4043,391,4.48
Marajó,PA,1998,568,560,261,466,4.68
Metropolitana de Belém,PA,1998,1806,1806,1314,727,26.02
Nordeste Paraense,PA,1998,30077,30017,20262,675,25.22
Sudoeste Paraense,PA,1998,8755,8005,4971,620,5.57
Sudeste Paraense,PA,1998,29817,25535,11928,467,5.19
Norte do Amapá,AP,1998,19,19,6,315,0.05
Sul do Amapá,AP,1998,131,131,39,297,0.13
Ocidental do Tocantins,TO,1998,4761,4591,2263,492,1.79
Oriental do Tocantins,TO,1998,1507,1507,465,308,0.8
Norte Maranhense,MA,1998,10572,10215,3721,364,5.2
Oeste Maranhense,MA,1998,14937,14937,5188,347,6.69
Centro Maranhense,MA,1998,15021,15021,3099,206,6.66
Leste Maranhense,MA,1998,19551,18595,5276,283,10.41
Sul Maranhense,MA,1998,2334,2294,180,78,0.18
Norte Piauiense,PI,1998,16912,16912,3021,178,18.69
Centro-Norte Piauiense,PI,1998,36578,36544,3173,86,16.7
Sudoeste Piauiense,PI,1998,41679,41679,6252,150,21.42
Sudeste Piauiense,PI,1998,98545,98545,5796,58,37.52
Noroeste Cearense,CE,1998,76602,61582,10088,163,19.81
Norte Cearense,CE,1998,69582,48914,10615,217,36.68
Metropolitana de Fortaleza,CE,1998,7635,7635,2213,289,22.94
Sertões Cearenses,CE,1998,149554,107244,9702,90,75.26
Jaguaribe,CE,1998,39423,24752,10374,419,36.06
Centro-Sul Cearense,CE,1998,31132,20411,4168,204,32.59
Sul Cearense,CE,1998,88734,88664,10896,122,25.88
Oeste Potiguar,RN,1998,29095,2915,710,243,1.86
Central Potiguar,RN,1998,11814,324,131,404,6.25
Agreste Potiguar,RN,1998,19989,10729,3478,324,16.88
Leste Potiguar,RN,1998,6693,6693,2895,432,5.35
Sertão Paraibano,PB,1998,60125,2792,1106,396,37.66
Borborema,PB,1998,5054,836,84,100,3.63
Agreste Paraibano,PB,1998,54038,16689,3365,201,19.31
Mata Paraibana,PB,1998,1310,1114,518,464,0.58
Sertão Pernambucano,PE,1998,83700,22400,6084,271,27.78
São Francisco Pernambucano,PE,1998,14010,6840,5817,850,6.6
Agreste Pernambucano,PE,1998,55605,38394,13582,353,25.05
Mata Pernambucana,PE,1998,2377,2277,894,392,0.21
Metropolitana de Recife,PE,1998,1145,1145,554,483,0.32
Sertão Alagoano,AL,1998,49856,46126,15638,339,44.04
Agreste Alagoano,AL,1998,30757,30757,16791,545,15.86
Leste Alagoano,AL,1998,11375,11345,4365,384,0.45
Sertão Sergipano,SE,1998,20535,13245,6019,454,45.75
Agreste Sergipano,SE,1998,27900,27900,21298,763,24.9
Leste Sergipano,SE,1998,3989,3939,2118,537,4.21
Extremo Oeste Baiano,BA,1998,37366,37366,59598,1594,8.94
Vale São-Franciscano da Bahia,BA,1998,29689,20740,9001,433,8.51
Centro Norte Baiano,BA,1998,213313,59405,13330,224,8.16
Nordeste Baiano,BA,1998,203545,203412,100368,493,64.67
Metropolitana de Salvador,BA,1998,2631,2631,1406,534,0.64
Centro Sul Baiano,BA,1998,115439,111535,34226,306,8.22
Sul Baiano,BA,1998,4688,4688,3196,681,0.86
Noroeste de Minas,MG,1998,65822,65822,110985,1686,31.92
Norte de Minas,MG,1998,66740,66740,51686,774,27.27
Jequitinhonha,MG,1998,12590,12590,2663,211,6.41
Vale do Mucuri,MG,1998,5560,5560,1478,265,4.93
Triângulo Mineiro/Alto Paranaíba,MG,1998,20675,20675,28158,1361,2.8
Central Mineira,MG,1998,7485,7485,4601,614,6.73
Metropolitana de Belo Horizonte,MG,1998,32253,32253,17184,532,13.7
Vale do Rio Doce,MG,1998,38191,38191,15073,394,16.15
Oeste de Minas,MG,1998,24679,24679,14002,567,14.85
Sul/Sudoeste de Minas,MG,1998,72125,72125,53123,736,9.46
Campo das Vertentes,MG,1998,16104,16104,5965,370,11.57
Zona da Mata,MG,1998,70371,70371,34048,483,24.32
Noroeste Espírito-santense,ES,1998,3419,3319,1964,591,14.08
Litoral Norte Espírito-santense,ES,1998,6773,6043,8429,1394,15.05
Central Espírito-santense,ES,1998,17832,17778,13272,746,22.46
Sul Espírito-santense,ES,1998,8023,7915,4737,598,9.2
Noroeste Fluminense,RJ,1998,2253,2253,1659,736,4.65
Norte Fluminense,RJ,1998,1775,1695,1233,727,0.99
Centro Fluminense,RJ,1998,2518,2518,2142,850,9.1
Baixadas,RJ,1998,613,613,474,773,5.58
Sul Fluminense,RJ,1998,1156,1156,909,786,15.87
Metropolitana do Rio de Janeiro,RJ,1998,953,953,747,783,1.23
São José do Rio Preto,SP,1998,15992,15992,20699,1294,4.89
Ribeirão Preto,SP,1998,7064,7064,13968,1977,0.88
Araçatuba,SP,1998,14735,14735,17353,1177,6.63
Bauru,SP,1998,15530,15530,23461,1510,5.05
Araraquara,SP,1998,400,400,547,1367,0.14
Piracicaba,SP,1998,1687,1687,2361,1399,0.78
Campinas,SP,1998,10022,10022,18363,1832,3.81
Presidente Prudente,SP,1998,16673,16673,14832,889,6.91
Marília,SP,1998,3072,3072,2770,901,8.24
Assis,SP,1998,5531,5531,7495,1355,1.72
Itapetininga,SP,1998,96780,96780,112408,1161,27.22
Macro Metropolitana Paulista,SP,1998,13025,13025,13994,1074,7.85
Vale do Paraíba Paulista,SP,1998,5711,5711,4784,837,13.29
Litoral Sul Paulista,SP,1998,1411,1411,763,540,20.35
Metropolitana de São Paulo,SP,1998,757,757,632,834,3.27
Noroeste Paranaense,PR,1998,23233,23233,14273,614,3.83
Centro Ocidental Paranaense,PR,1998,14137,14137,12810,906,2.21
Norte Central Paranaense,PR,1998,80292,80022,60701,758,6.65
Norte Pioneiro Paranaense,PR,1998,42776,42776,42279,988,8.66
Centro Oriental Paranaense,PR,1998,66575,66175,84128,1271,18.53
Oeste Paranaense,PR,1998,27292,27292,35638,1305,3.52
Sudoeste Paranaense,PR,1998,69815,69575,65369,939,13.69
Centro-Sul Paranaense,PR,1998,59330,58340,44030,754,9.43
Sudeste Paranaense,PR,1998,114820,109430,90190,824,22.83
Metropolitana de Curitiba,PR,1998,73568,73558,45140,613,16.65
Oeste Catarinense,SC,1998,138040,110551,55196,499,9.18
Norte Catarinense,SC,1998,16688,16506,18652,1130,5.91
Serrana,SC,1998,55184,53494,54328,1015,24.98
Vale do Itajaí,SC,1998,8027,7830,6724,858,2.74
Grande Florianópolis,SC,1998,3843,3843,3415,888,4.15
Sul Catarinense,SC,1998,20210,19980,19969,999,6.68
Noroeste Rio-grandense,RS,1998,108270,103923,63487,610,2.83
Nordeste Rio-grandense,RS,1998,8788,8747,8939,1021,3.31
Centro Ocidental Rio-grandense,RS,1998,14704,14379,10162,706,2.74
Centro Oriental Rio-grandense,RS,1998,18573,17863,15742,881,2.92
Metropolitana de Porto Alegre,RS,1998,12519,12474,6852,549,1.34
Sudoeste Rio-grandense,RS,1998,2769,2749,1332,484,0.15
Sudeste Rio-grandense,RS,1998,21607,21067,12759,605,2.58
Pantanais Sul Mato-grossense,MS,1998,3432,2932,3150,1074,20.5
Centro Norte de Mato Grosso do Sul,MS,1998,2073,2073,1853,893,0.6
Leste de Mato Grosso do Sul,MS,1998,4350,4225,3952,935,1.82
Sudoeste de Mato Grosso do Sul,MS,1998,21692,21643,24718,1142,4.15
Norte Mato-grossense,MT,1998,13067,13017,8077,620,0.48
Nordeste Mato-grossense,MT,1998,567,567,410,723,0.17
Sudoeste Mato-grossense,MT,1998,6055,6055,2301,380,0.96
Centro-Sul Mato-grossense,MT,1998,3027,2987,1596,534,1.76
Sudeste Mato-grossense,MT,1998,2588,2588,3959,1529,0.47
Noroeste Goiano,GO,1998,8058,7258,17540,2416,56.94
Norte Goiano,GO,1998,2575,2445,2956,1208,11.41
Centro Goiano,GO,1998,32693,29867,25852,865,12.35
Leste Goiano,GO,1998,27403,27331,57233,2094,22.87
Sul Goiano,GO,1998,41606,41436,80937,1953,8.3
Distrito Federal,DF,1998,12976,12976,24388,1879,29.26
Madeira-Guaporé,RO,1999,3918,3918,1894,483,4.94
Leste Rondoniense,RO,1999,92884,92884,56737,610,25.09
Vale do Juruá,AC,1999,3244,3244,1891,582,5.28
Vale do Acre,AC,1999,8372,8372,4271,510,5.04
Norte Amazonense,AM,1999,5,4,3,750,0.02
Sudoeste Amazonense,AM,1999,921,897,841,937,0.89
Centro Amazonense,AM,1999,1364,1355,1339,988,0.33
Sul Amazonense,AM,1999,2948,2935,2161,736,1.96
Norte de Roraima,RR,1999,265,265,103,388,0.35
Sul de Roraima,RR,1999,235,235,47,200,0.49
Baixo Amazonas,PA,1999,15864,15334,9991,651,10.13
Marajó,PA,1999,337,337,195,578,1.98
Metropolitana de Belém,PA,1999,2258,2258,1647,729,16.65
Nordeste Paraense,PA,1999,35060,34130,26329,771,18.83
Sudoeste Paraense,PA,1999,9082,9082,5918,651,7.68
Sudeste Paraense,PA,1999,30458,26802,12661,472,2.96
Norte do Amapá,AP,1999,83,78,41,525,0.37
Sul do Amapá,AP,1999,228,219,91,415,0.24
Ocidental do Tocantins,TO,1999,4288,4228,2011,475,1.17
Oriental do Tocantins,TO,1999,1285,1277,1055,826,1.76
Norte Maranhense,MA,1999,10154,10154,3564,350,5.57
Oeste Maranhense,MA,1999,10775,10775,4532,420,4.66
Centro Maranhense,MA,1999,16919,16919,7649,452,8.31
Leste Maranhense,MA,1999,21237,21237,8236,387,9.57
Sul Maranhense,MA,1999,3392,3392,2183,643,0.83
Norte Piauiense,PI,1999,19553,19553,6632,339,14.53
Centro-Norte Piauiense,PI,1999,41834,41834,15097,360,16.7
Sudoeste Piauiense,PI,1999,48727,48347,12393,256,10.78
Sudeste Piauiense,PI,1999,109102,109102,36437,333,40.55
Noroeste Cearense,CE,1999,125161,125161,36413,290,26.06
Norte Cearense,CE,1999,88163,88163,30893,350,33.49
Metropolitana de Fortaleza,CE,1999,8008,8008,2782,347,17.55
Sertões Cearenses,CE,1999,170343,170343,54881,322,44.84
Jaguaribe,CE,1999,62045,62045,24655,397,29.85
Centro-Sul Cearense,CE,1999,37464,37464,12518,334,24.54
Sul Cearense,CE,1999,85552,85552,27682,323,28.38
Oeste Potiguar,RN,1999,31232,21604,5085,235,8.79
Central Potiguar,RN,1999,11369,1377,256,185,7.21
Agreste Potiguar,RN,1999,26235,10388,2217,213,13.91
Leste Potiguar,RN,1999,6422,6067,2598,428,6.39
Sertão Paraibano,PB,1999,60198,15349,4954,322,37.68
Borborema,PB,1999,20414,4946,798,161,20.73
Agreste Paraibano,PB,1999,63278,49060,12984,264,27.51
Mata Paraibana,PB,1999,2362,2002,632,315,0.23
Sertão Pernambucano,PE,1999,149603,66815,14784,221,28.06
São Francisco Pernambucano,PE,1999,16030,9915,6813,687,11.31
Agreste Pernambucano,PE,1999,101955,46670,12958,277,21.01
Mata Pernambucana,PE,1999,5367,3365,1370,407,0.58
Metropolitana de Recife,PE,1999,191,161,53,329,0.04
Sertão Alagoano,AL,1999,46927,46047,15373,333,50.51
Agreste Alagoano,AL,1999,30365,30339,15152,499,9.53
Leste Alagoano,AL,1999,10536,10495,4120,392,0.43
Sertão Sergipano,SE,1999,26650,24500,11098,452,32.14
Agreste Sergipano,SE,1999,30858,30858,23311,755,16.64
Leste Sergipano,SE,1999,3845,3845,1823,474,2.28
Extremo Oeste Baiano,BA,1999,39138,39138,41565,1062,5.06
Vale São-Franciscano da Bahia,BA,1999,33923,31583,18287,579,12.24
Centro Norte Baiano,BA,1999,294046,217009,88943,409,30.27
Nordeste Baiano,BA,1999,308425,217583,118908,546,46.72
Metropolitana de Salvador,BA,1999,3518,3518,2029,576,1.26
Centro Sul Baiano,BA,1999,138240,137465,75017,545,15.63
Sul Baiano,BA,1999,5858,5858,4124,703,1.46
Noroeste de Minas,MG,1999,68076,68076,120777,1774,25.69
Norte de Minas,MG,1999,75190,75190,59869,796,28.01
Jequitinhonha,MG,1999,23073,23073,9128,395,11.02
Vale do Mucuri,MG,1999,5414,5414,2134,394,6.77
